$t$,w_0, (EKF), (VApre), (VAEM)
460,0.1984601,-0.065101705,-0.06747934,-0.06731168
461,0.19763696,-0.04890827,-0.051234905,-0.051074155
462,0.21154378,-0.058073618,-0.06041987,-0.060255103
463,0.19586122,-0.11296719,-0.115427576,-0.11524714
464,0.17564926,-0.09609017,-0.0984932,-0.09831912
465,0.20471427,-0.14467102,-0.14729556,-0.14711213
466,0.2523349,-0.16510478,-0.16776559,-0.16757508
467,0.26313034,-0.2111165,-0.21391997,-0.21372254
468,0.22653612,-0.16544734,-0.1680824,-0.16789636
469,0.22669809,-0.16760284,-0.17027561,-0.17009413
470,0.22526874,-0.16649695,-0.16914205,-0.1689565
471,0.17029822,-0.15211882,-0.1547013,-0.154516
472,0.18038316,-0.1718535,-0.17455404,-0.1743707
473,0.18660246,-0.18310419,-0.18579496,-0.18560389
474,0.21239786,-0.14287709,-0.14543302,-0.14525814
475,0.20498656,-0.17961608,-0.18225497,-0.1820744
476,0.2281595,-0.15844905,-0.16104607,-0.16088131
477,0.2435224,-0.1458151,-0.14834753,-0.14820081
478,0.22201687,-0.1448356,-0.14736624,-0.14722012
479,0.20965886,-0.1259208,-0.12839043,-0.12825043
480,0.26711154,-0.13798723,-0.14046651,-0.14032
481,0.23286249,-0.060900606,-0.063121974,-0.062999554
482,0.23556451,-0.089945,-0.092229165,-0.09209327
483,0.22652635,-0.11352339,-0.115890585,-0.11574866
484,0.22661538,-0.077151984,-0.07937272,-0.07924763
485,0.23520708,-0.10250402,-0.10480397,-0.10467201
486,0.27822873,-0.07012591,-0.0722993,-0.07218199
487,0.27678233,-0.11538004,-0.11778878,-0.11766111
488,0.2974676,-0.09203687,-0.0943681,-0.094236635
489,0.30511132,-0.048151985,-0.05036913,-0.050240766
490,0.32397488,0.021195037,0.019292777,0.019394832
491,0.3669361,0.03272793,0.03087125,0.030965488
492,0.34677267,0.07397648,0.07230987,0.072388396
493,0.32585415,0.080596976,0.078951165,0.07902454
